,STATE,1951,1961,1971,1981,1991,2001
1,ANDAMAN AND NICOBAR ISLANDS,30.3,40.07,51.15,63.19,73.02,81.3
2,ANDHRA PRADESH,0,21.19,24.57,35.66,44.08,60.47
3,ARUNACHAL PRADESH,0,7.13,11.29,25.55,41.59,54.34
4,ASSAM,18.53,32.95,33.94,0,52.89,63.25
5,BIHAR,13.49,21.95,23.17,32.32,37.49,47
6,CHANDIGARH,0,0,70.43,74.8,77.81,81.94
7,DADRA AND NAGAR HAVELI,0,0,18.13,32.9,40.71,57.63
8,DAMAN AND DIU,0,0,0,0,71.2,78.18
9,DELHI,0,61.95,65.08,71.94,75.29,81.67
10,GOA,23.48,35.41,51.96,65.71,75.51,82.01
11,GUJARAT,21.82,31.47,36.95,44.92,61.29,69.14
12,HARYANA,0,0,25.71,37.13,55.85,67.91
13,HIMACHAL PRADESH,0,0,0,0,63.86,76.48
14,JAMMU AND KASHMIR,0,12.95,21.71,30.64,0,55.52
15,KARNATAKA,0,29.8,36.83,46.21,56.04,66.64
16,KERALA,47.18,55.08,69.75,78.85,89.81,90.86
17,LAKSHADWEEP,15.23,27.15,51.76,68.42,81.78,86.66
18,MADHYA PRADESH,13.16,21.41,27.27,38.63,44.67,63.74
19,MAHARASHTRA,27.91,35.08,45.77,57.24,64.87,76.88
20,MANIPUR,12.57,36.04,38.47,49.66,59.89,70.53
21,MEGHALAYA,0,26.92,29.49,42.05,49.1,62.56
22,MIZORAM,31.14,44.01,53.8,59.88,82.26,88.8
23,NAGALAND,10.52,21.95,33.78,50.28,61.65,66.59
24,ORISSA,15.8,21.66,26.18,33.62,49.09,63.08
25,PONDICHERRY,0,43.65,53.38,65.14,74.74,81.24
26,PUNJAB,0,0,34.12,43.37,58.51,69.65
27,RAJASTHAN,8.5,18.12,22.57,30.11,38.55,60.41
28,SIKKIM,0,0,17.74,34.05,56.94,68.81
29,TAMIL NADU,0,36.39,45.4,54.39,62.66,73.45
30,TRIPURA,0,20.24,30.98,50.1,60.44,73.19
31,UTTAR PRADESH,12.02,20.87,23.99,32.65,40.71,56.27
32,WEST BENGAL,24.61,34.46,38.86,48.65,57.7,68.64
